audience1|audience2|audience3|audience4|audience5|audience6|audience7|contributor1id|contributor1name|contributor1role|contributor2id|contributor2name|contributor2role|contributor3id|contributor3name|contributor3role|contributor4id|contributor4name|contributor4role|contributor5id|contributor5name|contributor5role|creator1id|creator1name|creator2id|creator2name|format1|language1|licenseCondition1|publicationType1|publicationVersion1|publishDate1|publisher1|publisher2|repoName|resourceIdentifier1|resourceIdentifier2|resourceIdentifier3|source1|source2|subject10key|subject10value|subject11key|subject11value|subject12key|subject12value|subject1key|subject1value|subject2key|subject2value|subject3key|subject3value|subject4key|subject4value|subject5key|subject5value|subject6key|subject6value|subject7key|subject7value|subject8key|subject8value|subject9key|subject9value|title1|title2|title3
students|researchers|generalPublic|||||2302686|OLIVIA ANDREA MENDOZA ENRIQUEZ|asesorTesis|||||||||||||3000629|Adrián Perez Guerrero|||application/pdf|spa|http://creativecommons.org/licenses/by-nc-nd/4.0|info:eu-repo/semantics/masterThesis|info:eu-repo/semantics/publishedVersion|2016|INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación|Maestría en Derecho de las Tecnologías de la Información y Comunicación|Repositorio Institucional de INFOTEC|http://infotec.repositorioinstitucional.mx/jspui/handle/1027/149|||||||||||info:eu-repo/classification/Tesauro sobre información y conocimiento/Preservación digital|Preservación digital|info:eu-repo/classification/cti/5|CIENCIAS SOCIALES|info:eu-repo/classification/cti/56|CIENCIAS JURÍDICAS Y DERECHO|info:eu-repo/classification/cti/5605|DERECHO Y LEGISLACIÓN NACIONALES|||||||||||Reformas al marco jurídico y normativo referente a la digitalización de documentación en México con enfoque en el sector comercial|Reporte analítico de experiencia laboral|
students|researchers|generalPublic|||||820115|HECTOR EDGAR BUENROSTRO MERCADO|asesorTesis|||||||||||||3000632|Edmundo Hernández Ortega|||application/pdf|spa|http://creativecommons.org/licenses/by-nc-nd/4.0|info:eu-repo/semantics/masterThesis|info:eu-repo/semantics/publishedVersion|2016|INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación|Maestría en Dirección Estratégica de las Tecnologías de Información y Comunicación|Repositorio Institucional de INFOTEC|http://infotec.repositorioinstitucional.mx/jspui/handle/1027/151|||||||||||info:eu-repo/classification/UNESCO/Planificación empresarial|Planificación empresarial|info:eu-repo/classification/cti/5|CIENCIAS SOCIALES|info:eu-repo/classification/cti/53|CIENCIAS ECONÓMICAS|info:eu-repo/classification/cti/5311|ORGANIZACIÓN Y DIRECCIÓN DE EMPRESAS|info:eu-repo/classification/cti/531104|ORGANIZACIÓN DE RECURSOS HUMANOS|||||||||Diseño de un sistema de información para la gestión estratégica y evaluación del desempeño|Solución estratégica empresarial|
researchers|||||||2302686|OLIVIA ANDREA MENDOZA ENRIQUEZ|asesorTesis|||||||||||||3013922|Alma Elizabeth Laura Camacho|3013923|Óscar Adrián Sánchez Martínez|application/pdf|spa|http://creativecommons.org/licenses/by-nc-nd/4.0|info:eu-repo/semantics/masterThesis||2017|||Repositorio Institucional de INFOTEC|http://infotec.repositorioinstitucional.mx/jspui/handle/1027/205|||||||||||info:eu-repo/classification/LEM/Protección de datos personales|Protección de datos personales|info:eu-repo/classification/cti/5|CIENCIAS SOCIALES|info:eu-repo/classification/cti/56|CIENCIAS JURÍDICAS Y DERECHO|info:eu-repo/classification/cti/5699|OTRAS ESPECIALIDADES JURÍDICAS|info:eu-repo/classification/cti/569999|OTRAS|||||||||Modelo de interoperabilidad en los sistemas de administración de justicia en línea en México que busca garantizar la protección de datos||
researchers|||||||3014287|José Santiago Pedroza|asesorTesis|||||||||||||3013824|JORGE ESCOTTO|||application/pdf|spa|http://creativecommons.org/licenses/by-nc-nd/4.0|info:eu-repo/semantics/masterThesis||2017-04|INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación|Maestría en Dirección Estratégica de Tecnologías de Información y Comunicación|Repositorio Institucional de INFOTEC|http://infotec.repositorioinstitucional.mx/jspui/handle/1027/220|||||||||||info:eu-repo/classification/LEM/Administración de proyectos|Administración de proyectos|info:eu-repo/classification/cti/5|CIENCIAS SOCIALES|info:eu-repo/classification/cti/59|CIENCIA POLÍTICA|info:eu-repo/classification/cti/5909|ADMINISTRACIÓN PÚBLICA|info:eu-repo/classification/cti/590901|GESTIÓN ADMINISTRATIVA|||||||||Uso del pensamiento No-Lineal en la administración de proyectos||
researchers|||||||2245581|ALFREDO ALEJANDRO REYES KRAFFT|asesorTesis|||||||||||||3014637|Alejandro de los Santos Pérez|||application/pdf|spa|http://creativecommons.org/licenses/by-nc-nd/4.0|info:eu-repo/semantics/masterThesis||2017-08|INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación|Maestría en Derecho de las Tecnologías de la Información y Comunicación|Repositorio Institucional de INFOTEC|http://infotec.repositorioinstitucional.mx/jspui/handle/1027/221|||||||||||info:eu-repo/classification/LEM/Jurisdicción administrativa|Jurisdicción administrativa|info:eu-repo/classification/cti/5|CIENCIAS SOCIALES|info:eu-repo/classification/cti/56|CIENCIAS JURÍDICAS Y DERECHO|info:eu-repo/classification/cti/5605|DERECHO Y LEGISLACIÓN NACIONALES|info:eu-repo/classification/cti/560501|DERECHO ADMINISTRATIVO|||||||||Análisis de la transformación del INFOTEC en cuanto a su naturaleza jurídica||
researchers|||||||2096067|WILMA TERESA ARELLANO TOLEDO|asesorTesis|||||||||||||3014643|Jesús Ernesto Briseño Montiel|||application/pdf|spa|http://creativecommons.org/licenses/by-nc-nd/4.0|info:eu-repo/semantics/masterThesis||2013|Fondo de Información y Documentación para la Industria INFOTEC|Maestría en Dirección Estratégica de las Tecnologías de Información y comunicación|Repositorio Institucional de INFOTEC|http://infotec.repositorioinstitucional.mx/jspui/handle/1027/225|||||||||||info:eu-repo/classification/LEM/Datos personales|Datos personales|info:eu-repo/classification/cti/5|CIENCIAS SOCIALES|info:eu-repo/classification/cti/56|CIENCIAS JURÍDICAS Y DERECHO|info:eu-repo/classification/cti/5605|DERECHO Y LEGISLACIÓN NACIONALES|info:eu-repo/classification/cti/560599|OTRAS|||||||||Implementación de la Ley Federal de Protección de Datos Personales en Posesión de los Particulares en México||
researchers|||||||3000027|Evelyn Téllez Carvajal|asesorTesis|||||||||||||3013872|Liliana Arellano Jurado|||application/pdf|spa|http://creativecommons.org/licenses/by-nc-nd/4.0|info:eu-repo/semantics/masterThesis||2015|INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación||Repositorio Institucional de INFOTEC|http://infotec.repositorioinstitucional.mx/jspui/handle/1027/226|||||||||||info:eu-repo/classification/LEM/Propiedad intelectual|Propiedad intelectual|info:eu-repo/classification/cti/5|CIENCIAS SOCIALES|info:eu-repo/classification/cti/56|CIENCIAS JURÍDICAS Y DERECHO|info:eu-repo/classification/cti/5605|DERECHO Y LEGISLACIÓN NACIONALES|info:eu-repo/classification/cti/560599|OTRAS|||||||||Manual para prevenir y manejar la colisión de derechos en difusiones vía red de cómputo mediante las reservas de derechos los nombres de dominio y las marcas||
researchers|||||||3000027|Evelyn Téllez Carvajal|asesorTesis|||||||||||||3014772|Violeta Rodríguez Rivera|||application/pdf|spa|http://creativecommons.org/licenses/by-nc-nd/4.0|info:eu-repo/semantics/masterThesis||2017|INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación|Maestría en Derecho de las Tecnologías de la Información y Comunicación|Repositorio Institucional de INFOTEC|http://infotec.repositorioinstitucional.mx/jspui/handle/1027/238|||||||||||info:eu-repo/classification/LEM/Propiedad Intelectual|Propiedad Intelectual|info:eu-repo/classification/cti/5|CIENCIAS SOCIALES|info:eu-repo/classification/cti/56|CIENCIAS JURÍDICAS Y DERECHO|info:eu-repo/classification/cti/5605|DERECHO Y LEGISLACIÓN NACIONALES|info:eu-repo/classification/cti/560599|OTRAS|||||||||Guía para la protección en Internet de las marcas notorias y famosas de las empresas de transporte foráneo de pasajeros||
researchers|||||||3000027|Evelyn Téllez Carvajal|asesorTesis|||||||||||||3014862|Yaremy Guadalupe Alvarez Gamboa|||application/pdf|spa|http://creativecommons.org/licenses/by-nc-nd/4.0|info:eu-repo/semantics/masterThesis||2017|INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación|Maestría en Derecho de las Tecnologías de la Información y Comunicación|Repositorio Institucional de INFOTEC|http://infotec.repositorioinstitucional.mx/jspui/handle/1027/239|||||||||||info:eu-repo/classification/LEM/Propiedad intelectual|Propiedad intelectual|info:eu-repo/classification/cti/5|CIENCIAS SOCIALES|info:eu-repo/classification/cti/56|CIENCIAS JURÍDICAS Y DERECHO|info:eu-repo/classification/cti/5699|OTRAS ESPECIALIDADES JURÍDICAS|info:eu-repo/classification/cti/569999|OTRAS|||||||||Solución de conflictos en materia de marcas y nombres de dominio ante la UDRP||
researchers|||||||3000027|Evelyn Téllez Carvajal|asesorTesis|||||||||||||3015219|Laura Nayely Molina Martínez|||application/pdf|spa|http://creativecommons.org/licenses/by-nc-nd/4.0|info:eu-repo/semantics/masterThesis||2017|INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación|Maestría en Derecho de las Tecnologías de la Información y Comunicación|Repositorio Institucional de INFOTEC|http://infotec.repositorioinstitucional.mx/jspui/handle/1027/240|||||||||||info:eu-repo/classification/LEM/Administración pública|Administración pública|info:eu-repo/classification/cti/5|CIENCIAS SOCIALES|info:eu-repo/classification/cti/56|CIENCIAS JURÍDICAS Y DERECHO|info:eu-repo/classification/cti/5699|OTRAS ESPECIALIDADES JURÍDICAS|info:eu-repo/classification/cti/569999|OTRAS|||||||||Áreas de oportunidad en la herramienta tecnológica para compras gubernamentales denominada COMPRANET||
researchers|||||||2302686|OLIVIA ANDREA MENDOZA ENRIQUEZ|asesorTesis|||||||||||||3015239|Luis Ricardo Sánchez Hernández|||application/pdf|spa|http://creativecommons.org/licenses/by-nc-nd/4.0|info:eu-repo/semantics/masterThesis||2017-06|INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y Comunicación|Maestría en Derecho de las Tecnologías de la Información y Comunicación|Repositorio Institucional de INFOTEC|http://infotec.repositorioinstitucional.mx/jspui/handle/1027/241|||||||||||info:eu-repo/classification/LEM/Protección de datos|Protección de datos|info:eu-repo/classification/cti/5|CIENCIAS SOCIALES|info:eu-repo/classification/cti/56|CIENCIAS JURÍDICAS Y DERECHO|info:eu-repo/classification/cti/5699|OTRAS ESPECIALIDADES JURÍDICAS|info:eu-repo/classification/cti/569999|OTRAS|||||||||Sistematización de obligaciones en materia de protección de datos personales para el sector público en el Estado de México||
generalPublic|||||||2041249|LUIS DANIEL VAZQUEZ VALENCIA|director||||||||||||||HÉCTOR ARMANDO HURTADO GROOSCORS|||application/pdf|spa|http://creativecommons.org/licenses/by-nc-nd/4.0|info:eu-repo/semantics/doctoralThesis||2015|||Repositorio Institucional FLACSO México|http://flacso.repositorioinstitucional.mx/jspui/handle/1026/12|||||||||||info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Chávez Frías Hugo 1954-2013|Chávez Frías Hugo 1954-2013|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Cultura Política|Cultura Política|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Discurso Político|Discurso Político|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Socialismo|Socialismo|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Populismo|Populismo|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Doctrina Bolivariana|Doctrina Bolivariana|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Venezuela|Venezuela|info:eu-repo/classification/cti/5|CIENCIAS SOCIALES|info:eu-repo/classification/cti/63|SOCIOLOGÍA|Cambios y persistencias de la identidad política "chavista" : aproximación al proceso político venezolano reciente 1999-2007||
generalPublic|||||||2121197|NELSON ARTEAGA BOTELLO|director||||||||||||||ELDA ALEJANDRA GARCÍA ALARCÓN|||application/pdf||http://creativecommons.org/licenses/by-nc-nd/4.0|info:eu-repo/semantics/masterThesis||2014|FLACSO México||Repositorio Institucional FLACSO México|http://flacso.repositorioinstitucional.mx/jspui/handle/1026/13|||Publicación impresa||||||||info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Violencia|Violencia|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Víctimas de Violencia|Víctimas de Violencia|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Homicidio|Homicidio|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Economía Informal|Economía Informal|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Comercio Ambulante|Comercio Ambulante|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Sociología Cultural|Sociología Cultural|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Ciudad Juárez (Chihuahua México)|Ciudad Juárez (Chihuahua México)|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Sociedad civil diversidad y multiculturalismo en América Latina y el Caribe|Sociedad civil diversidad y multiculturalismo en América Latina y el Caribe|info:eu-repo/classification/cti/5|CIENCIAS SOCIALES|De la ciudad violenta al Juárez herido : la construcción de un trauma cultural y su apropiación narrativa y performativa en mercados de segunda mano||
generalPublic|||||||2002200|ANA MARIA MONICA CASALET RAVENNA|director|||||||||||||923038|JUANA HERNANDEZ CHAVARRIA|||application/pdf|spa|http://creativecommons.org/licenses/by-nc-nd/4.0|info:eu-repo/semantics/doctoralThesis||2015|FLACSO México||Repositorio Institucional FLACSO México|http://flacso.repositorioinstitucional.mx/jspui/handle/1026/14|||Publicación impresa||||||||info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Industria Aeronáutica|Industria Aeronáutica|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Innovación Científica|Innovación Científica|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Productividad Industrial|Productividad Industrial|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Política Industrial|Política Industrial|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Competitividad|Competitividad|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/México|México|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Integración y Dinámica Socioeconómica Latinoamericana|Integración y Dinámica Socioeconómica Latinoamericana|info:eu-repo/classification/cti/5|CIENCIAS SOCIALES|info:eu-repo/classification/cti/63|SOCIOLOGÍA|Las empresas mexicanas en la cadena de valor de la industria aeronáutica||
generalPublic|||||||2041249|LUIS DANIEL VAZQUEZ VALENCIA|director|||||||||||||873884|RUTH ALEJANDRA NAVARRETE NIEVES|||application/pdf|spa|http://creativecommons.org/licenses/by-nc-nd/4.0|info:eu-repo/semantics/masterThesis||2014|FLACSO México||Repositorio Institucional FLACSO México|http://flacso.repositorioinstitucional.mx/jspui/handle/1026/15|||Publicación impresa||||||||info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Derechos a la Alimentación|Derechos a la Alimentación|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Nutrición|Nutrición|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Alimentos|Alimentos|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Derechos Económicos Sociales y Culturales|Derechos Económicos Sociales y Culturales|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Derechos Humanos|Derechos Humanos|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Derecho Internacional|Derecho Internacional|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/México|México|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Estado Democracia  y Derechos Humanos|Estado Democracia  y Derechos Humanos|info:eu-repo/classification/cti/5|CIENCIAS SOCIALES|Indicadores para medir el ejercicio de los derechos humanos : el caso del derecho a una alimentación adecuada||
generalPublic|||||||2025444|SANTIAGO ANDRES CARASSALE REAL|director|||||||||||||856304|LUCAS ALBERTO GASCON|||application/pdf|spa|http://creativecommons.org/licenses/by-nc-nd/4.0|info:eu-repo/semantics/doctoralThesis||2015|FLACSO México||Repositorio Institucional FLACSO México|http://flacso.repositorioinstitucional.mx/jspui/handle/1026/16|||Publicación impresa||||||||info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Anarquismo|Anarquismo|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Conciencia de Finitud|Conciencia de Finitud|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Filosofía de la Historia|Filosofía de la Historia|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Economía de la Violencia|Economía de la Violencia|info:eu-repo/classification/Tesauros UNESCO POPIN INE OIT CIDH GENERO LEMB/Discurso e Identidades en América Latina y el Caribe|Discurso e Identidades en América Latina y el Caribe|info:eu-repo/classification/cti/5|CIENCIAS SOCIALES|info:eu-repo/classification/cti/63|SOCIOLOGÍA|||||Conciencia de finitud reinscripción y nihilismo : acerca del problema de la comprensión histórica y la crítica en tiempos de crisis||
