audience1,audience2,audience3,audience4,contributor1id,contributor1name,contributor1role,contributor2id,contributor2name,contributor2role,contributor3id,contributor3name,contributor3role,contributor4id,contributor4name,contributor4role,creator1id,creator1name,format1,language1,licenseCondition1,publicationType1,publicationVersion1,publishDate1,publisher1,publisher2,repoName,resourceIdentifier1,resourceIdentifier2,source1,source2,subject10key,subject10value,subject11key,subject11value,subject12key,subject12value,subject13key,subject13value,subject14key,subject14value,subject15key,subject15value,subject16key,subject16value,subject17key,subject17value,subject18key,subject18value,subject19key,subject19value,subject1key,subject1value,subject20key,subject20value,subject2key,subject2value,subject3key,subject3value,subject4key,subject4value,subject5key,subject5value,subject6key,subject6value,subject7key,subject7value,subject8key,subject8value,subject9key,subject9value,title1
students,,,,784501,Andrew Roth,director,,,,,,,,,,3013909,eunice herrera aguilar,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/doctoralThesis,info:eu-repo/semantics/acceptedVersion,2017-06-05,,,Repositorio Institucional de COLMICH,http://colmich.repositorioinstitucional.mx/jspui/handle/1016/197,,,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,,,info:eu-repo/classification/cti/51,ANTROPOLOGÍA,info:eu-repo/classification/cti/5102,ETNOGRAFÍA Y ETNOLOGÍA,info:eu-repo/classification/cti/510201,AGRICULTURA,,,,,,,,,,,Oro verde a la sombra del volcán : la agroindustria transnacional del aguacate y las transformaciones de tenencia de la tierra en la sierra p’urhépecha
students,,,,,,,,,,,,,,,,863478,JOSE ISABEL CAMPOS CEBALLOS,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/doctoralThesis,info:eu-repo/semantics/acceptedVersion,2017-03-17,,,Repositorio Institucional de COLMICH,http://colmich.repositorioinstitucional.mx/jspui/handle/1016/204,,,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LEMB/Fiestas Religiosas -- México,Fiestas Religiosas -- México,,,info:eu-repo/classification/LEMB/Fiestas Religiosas -- Napa California,Fiestas Religiosas -- Napa California,info:eu-repo/classification/LEMB/México -- Vida Religiosa y Costumbres,México -- Vida Religiosa y Costumbres,info:eu-repo/classification/LEMB/México -- Vida Social y Costumbres,México -- Vida Social y Costumbres,info:eu-repo/classification/LEMB/México -- Emigración e Inmigración,México -- Emigración e Inmigración,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/51,ANTROPOLOGÍA,info:eu-repo/classification/cti/5101,ANTROPOLOGÍA CULTURAL,info:eu-repo/classification/cti/510103,DANZAS FIESTAS,“Conservando nuestras raíces” : entre continuidad y cambio de la tradición. Señor del Perdón de Tuxpan Jalisco
students,,,,,,,,,,,,,,,,899779,DANIEL ALBERTO GODINEZ SALAZAR,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/masterThesis,info:eu-repo/semantics/acceptedVersion,2017-03-15,,,Repositorio Institucional de COLMICH,http://colmich.repositorioinstitucional.mx/jspui/handle/1016/205,,,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LEMB/Botánica -- La Piedad Michoacán,Botánica -- La Piedad Michoacán,,,info:eu-repo/classification/LEMB/Hábitos Alimenticios -- La Piedad Michoacán,Hábitos Alimenticios -- La Piedad Michoacán,info:eu-repo/classification/LEMB/Plantas Comestibles -- Michoacán,Plantas Comestibles -- Michoacán,info:eu-repo/classification/LEMB/Plantas Medicinales -- Michoacán,Plantas Medicinales -- Michoacán,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/51,ANTROPOLOGÍA,info:eu-repo/classification/cti/5101,ANTROPOLOGÍA CULTURAL,info:eu-repo/classification/cti/510113,MEDICINA TRADICIONAL,,,Recursos vegetales culturalmente útiles en la región de La Piedad Michoacán 1860-1950
students,,,,3000581,Gail Mummert,director,,,,,,,,,,922584,JUAN MIGUEL SARRICOLEA TORRES,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/doctoralThesis,info:eu-repo/semantics/acceptedVersion,2014,,,Repositorio Institucional de COLMICH,http://colmich.repositorioinstitucional.mx/jspui/handle/1016/224,,,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LEMB/Masculinidad -- Aspectos Sociales -- Zacatecas,Masculinidad -- Aspectos Sociales -- Zacatecas,,,info:eu-repo/classification/LEMB/Roles Sexuales -- Zacatecas,Roles Sexuales -- Zacatecas,info:eu-repo/classification/LEMB/Migración -- Zacatecas,Migración -- Zacatecas,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/51,ANTROPOLOGÍA,info:eu-repo/classification/cti/5101,ANTROPOLOGÍA CULTURAL,info:eu-repo/classification/cti/510114,TRADICIÓN,,,,,Cuerpos masculinos en tránsito. Una etnografía con hombres mujeres y familias migrantes de Jerez Zacatecas. 1940-1964
students,,,,784501,Andrew Roth,director,,,,,,,,,,2043663,GABRIEL HECTOR ANGELOTTI PASTEUR,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/doctoralThesis,info:eu-repo/semantics/acceptedVersion,2014,,,Repositorio Institucional de COLMICH,http://colmich.repositorioinstitucional.mx/jspui/handle/1016/225,,,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LEMB/Fútbol -- Historia -- México,Fútbol -- Historia -- México,,,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/51,ANTROPOLOGÍA,info:eu-repo/classification/cti/5103,ANTROPOLOGÍA SOCIAL,info:eu-repo/classification/cti/510399,OTRAS,,,,,,,,,Fútbol e identidad : la formación histórica del deporte y la construcción de identidades colectivas en torno al fútbol en México
students,,,,,,,,,,,,,,,,2173498,JORGE LUIS MARIN GARCIA,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/doctoralThesis,info:eu-repo/semantics/acceptedVersion,2011-12-14,,,Repositorio Institucional de COLMICH,http://colmich.repositorioinstitucional.mx/jspui/handle/1016/211,,,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LEMB/Huicholes -- Arte,Huicholes -- Arte,,,info:eu-repo/classification/LEMB/Huicholes -- Religión y Mitología,Huicholes -- Religión y Mitología,info:eu-repo/classification/LEMB/Mitología -- Simbolismo,Mitología -- Simbolismo,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/51,ANTROPOLOGÍA,info:eu-repo/classification/cti/5101,ANTROPOLOGÍA CULTURAL,info:eu-repo/classification/cti/510114,TRADICIÓN,,,,,Rituales y Arte huicholes : espacios de frontera entre la sierra y el pavimento
students,,,,2202975,EFRAIN CARDENAS GARCIA,director,,,,,,,,,,852842,SUSANA LETICIA MEAVE DEL CASTILLO,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/masterThesis,info:eu-repo/semantics/acceptedVersion,2013-03,,,Repositorio Institucional de COLMICH,http://colmich.repositorioinstitucional.mx/jspui/handle/1016/207,,,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LEMB/Arqueología del Paisaje -- Irapuato Guanajuato,Arqueología del Paisaje -- Irapuato Guanajuato,,,info:eu-repo/classification/LEMB/Ecología Agrícola -- Irapuato Guanajuato,Ecología Agrícola -- Irapuato Guanajuato,info:eu-repo/classification/LEMB/Agricultura -- Historia -- Irapuato Guanajuato,Agricultura -- Historia -- Irapuato Guanajuato,info:eu-repo/classification/LEMB/Sistemas de Información Geográfica -- Irapuato Guanajuato,Sistemas de Información Geográfica -- Irapuato Guanajuato,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/51,ANTROPOLOGÍA,info:eu-repo/classification/cti/5102,ETNOGRAFÍA Y ETNOLOGÍA,info:eu-repo/classification/cti/510201,AGRICULTURA,,,El paisaje agrícola en el valle de Irapuato : época prehispánica y virreinal
students,,,,2006764,HERON PEREZ MARTINEZ,director,,,,,,,,,,835199,BERENICE REYES HERRERA,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/doctoralThesis,info:eu-repo/semantics/acceptedVersion,2014-01,,,Repositorio Institucional de COLMICH,http://colmich.repositorioinstitucional.mx/jspui/handle/1016/212,,,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LEMB/Literatura Mexicana -- Zacatecas -- Historia -- Siglo XIX,Literatura Mexicana -- Zacatecas -- Historia -- Siglo XIX,,,info:eu-repo/classification/LEMB/Literatura Mexicana -- Zacatecas -- Historia -- Siglo XX,Literatura Mexicana -- Zacatecas -- Historia -- Siglo XX,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/62,CIENCIAS DE LAS ARTES Y LAS LETRAS,info:eu-repo/classification/cti/6202,TEORÍA ANÁLISIS Y CRÍTICA LITERARIAS,info:eu-repo/classification/cti/620202,ANÁLISIS LITERARIO,,,,,,,De la tradición a la liberación : poesía zacatecana 1880-1926
students,,,,2005727,MIGUEL JESUS HERNANDEZ MADRID,director,,,,,,,,,,2037647,ALVARO ARTURO FERNANDEZ REYES,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/doctoralThesis,info:eu-repo/semantics/acceptedVersion,2005-12,,,Repositorio Institucional de COLMICH,http://colmich.repositorioinstitucional.mx/jspui/handle/1016/245,,,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LEMB/Cinematografía -- Historia,Cinematografía -- Historia,,,info:eu-repo/classification/LEMB/Cinematografía -- Argumentos,Cinematografía -- Argumentos,info:eu-repo/classification/LEMB/Cinematografía -- Aspectos Sociales,Cinematografía -- Aspectos Sociales,info:eu-repo/classification/LEMB/Melodrama,Melodrama,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/62,CIENCIAS DE LAS ARTES Y LAS LETRAS,info:eu-repo/classification/cti/6203,TEORÍA ANÁLISIS Y CRÍTICA DE LAS BELLAS ARTES,info:eu-repo/classification/cti/620301,CINEMATOGRAFÍA,,,La escena del crimen. Crimen y suspenso en el cine mexicano 1946-1955
students,,,,3000612,Víctor Manuel Ortiz Aguirre,director,2010014,FELIX BAEZ JORGE,director,,,,,,,922590,ALEJANDRA PACHECO MAMONE,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/doctoralThesis,info:eu-repo/semantics/acceptedVersion,2013-11,,,Repositorio Institucional de COLMICH,http://colmich.repositorioinstitucional.mx/jspui/handle/1016/221,,,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LEMB/Indios de México -- Religión y Mitología,Indios de México -- Religión y Mitología,,,info:eu-repo/classification/LEMB/Cosmología Indígena,Cosmología Indígena,info:eu-repo/classification/LEMB/Soteapan Veracruz -- Vida Religiosa y Costumbres,Soteapan Veracruz -- Vida Religiosa y Costumbres,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/51,ANTROPOLOGÍA,info:eu-repo/classification/cti/5101,ANTROPOLOGÍA CULTURAL,info:eu-repo/classification/cti/510110,RELIGIÓN,,,,,Un acercamiento a las visiones de mundo en comunidades popolucas de la Sierra de Santa Martha Veracruz : entidades sobrenaturales y ¨efectos de realidad¨; sujeto de la enunciación de la figura mítica Payi Wüyi
students,,,,2294773,THOMAS CALVO RIBES,director,,,,,,,,,,2261332,JOSE GABINO CASTILLO FLORES,application/pdf,spa,http://creativecommons.org/licenses/by-nc-nd/4.0,info:eu-repo/semantics/doctoralThesis,info:eu-repo/semantics/acceptedVersion,2013,,,Repositorio Institucional de COLMICH,http://colmich.repositorioinstitucional.mx/jspui/handle/1016/232,,,,,,,,,,,,,,,,,,,,,,,,info:eu-repo/classification/LEMB/Cabildos Eclesiásticos -- México,Cabildos Eclesiásticos -- México,,,info:eu-repo/classification/LEMB/México.Catedral -- Historia -- Siglos XVI,México.Catedral -- Historia -- Siglos XVI,info:eu-repo/classification/LEMB/México.Catedral -- Historia -- Siglos XVII,México.Catedral -- Historia -- Siglos XVII,info:eu-repo/classification/LEMB/Iglesia Católica en México -- Administración,Iglesia Católica en México -- Administración,info:eu-repo/classification/cti/4,HUMANIDADES Y CIENCIAS DE LA CONDUCTA,info:eu-repo/classification/cti/51,ANTROPOLOGÍA,info:eu-repo/classification/cti/5101,ANTROPOLOGÍA CULTURAL,info:eu-repo/classification/cti/510110,RELIGIÓN,,,La Catedral de México y su cabildo eclesiástico : 1530-1612
