Title,File Name,Repo_name,creator,identifier,Date,language_correcto,Grado,Centro,Programa,Publisher,Subject Conacyt,Subject Conacyt 2,Tema - Especialización,Subject,Audience 1,Audience 2
Los dilemas del crecimiento: El Partido Acción Nacional y sus fracciones frente a la vida política mexicana,2003_reynoso_vm.pdf,2003_reynoso_vm.pdf,"Reynoso Angulo, Víctor Manuel",606,2003,spa,Doctor en Ciencias Sociales,Centro de Estudios Sociológicos,,El Colegio de México A.C.,5,,Sociología,Partido Acción Nacional (México),Researchers,Students
Hacia una estética del horror en romances violentos: de la fábula bíblica en romances tradicionales al suceso en pliegos de cordel,2003_bazan_r.pdf,2003_bazan_r.pdf,"Bazán Bonfil, Rodrigo",612,2003,spa,Doctor en Literatura Hispánica,Centro de Estudios Lingüísticos y Literarios,,El Colegio de México A.C.,4,,,Horror en la literatura,Researchers,Students
"Edición crítica del tratado: Sitio, naturaleza y propiedades de la ciudad de México- de Diego Cisneros, 1618___",2003_venier_me.pdf,2003_venier_me.pdf,"Venier, Martha Elena",628,2003,spa,Doctor en Lingüística y Literatura Hispánicas,Centro de Estudios Lingüísticos y Literarios,,El Colegio de México A.C.,4,,,"Cisneros, Diego de",Researchers,Students
"La oralidad escrita en José Trigo, de Fernando del Paso: memoria y poesía",2003_alvarez_mdc.pdf,2003_alvarez_mdc.pdf,"Álvarez Lobato, Carmen",646,2003,spa,Doctor en Literatura Hispánica,Centro de Estudios Lingüísticos y Literarios,,El Colegio de México A.C.,4,,,"Paso, Fernando del",Researchers,Students
"Intelectuales, integración e identidad regional: la Unión Latino Americana y el Boletín Renovación, 1922-1930",2004_pita_a.pdf,2004_pita_a.pdf,"Pita González, Alexandra",675,2004,spa,Doctor en Historia,Centro de Estudios Históricos,,El Colegio de México A.C.,4,,,Unión Latino Americana,Researchers,Students
Tratamiento lexicográfico de los mexicanismos y seudomexicanismos en los diccionarios académicos,2006_fernandez_l.pdf,2006_fernandez_l.pdf,"Fernández Gordillo, Luz",1248,2006,spa,Doctor en Lingüística y Literatura Hispánicas,Centro de Estudios Lingüísticos y Literarios,,El Colegio de México A.C.,4,,,Español,Researchers,Students
Los dos grandes textos sapienciales acadios: ficción o reflejo de una sociedad?,1997_seri_adelr.pdf,1997_seri_a_del_r.pdf,"Seri, Andrea del Rosario",44,1997,spa,Maestro en Estudios de Asia y Africa,Centro de Estudios de Asia y Africa,,El Colegio de México A.C.,4,,,Acadios en la literatura,Researchers,Students
Tenencia de la tierra en ejidos de la periferia urbana de la ciudad de México: una aproximación desde la perspectiva de género,2003_cano_mdc.pdf,2003_cano_mdc.pdf,"Caño Secade, María del Carmen",627,2003,spa,Maestro en Estudios Urbanos,Centro de Estudios Demográficos y de Desarrollo Urbano,,El Colegio de México A.C.,5,,,Asentamientos humanos,Researchers,Students
La educación básica y la desigualdad territorial en los municipios de San Luis Potosí,2003_alva_bf.pdf,2003_alva_bf.pdf,"Alva Fuentes, Benjamín Fidel",632,2003,spa,Maestro en Desarrollo Urbano,Centro de Estudios Demográficos y de Desarrollo Urbano,,El Colegio de México A.C.,5,,,Educación elemental,Researchers,Students
Los ecos de Vac o la Viña de Sarasvati: la diosa de la palabra y la evolución de un culto,2003_munoz_a.pdf,2003_munoz_a.pdf,"Muñoz, Adrián",686,2003,spa,Maestro en Estudios de Asia y Africa,Centro de Estudios de Asia y Africa,,El Colegio de México A.C.,4,,la India,Mitología hindú,Researchers,Students
"Desigualdades intrarregionales en el Istmo de Tehuantepec, 1970-2000",2003_toledo_a.pdf,,"Toledo Tolentino, Angel",688,2003,spa,Maestro en Estudios Urbanos,Centro de Estudios Demográficos y de Desarrollo Urbano,,El Colegio de México A.C.,5,,,Marginación social,Researchers,Students
La reflexión metalingüística en la poesía de Mahmud Darwish: el caso de La ta'tadhir 'amma fa'alt,2014_mendez_lf.pdf,2014_mendez_lf.pdf,"Méndez Franco, Luis Fernando",713,2014,spa,Maestro en Estudios de Asia y África,Centro de Estudios de Asia y África,,El Colegio de México A.C.,4,,Medio Oriente,"Darwish, Mahmud",Researchers,Students
Crecimiento económico y distribución del ingreso: una revisión integradora e interpretativa,2002_ortega_a.pdf,,"Ortega Díaz, Araceli",754,2002,spa,Maestro en Economía,Centro de Estudios Económicos,,El Colegio de México A.C.,5,,,Desarrollo económico,Researchers,Students
La guerra civil en Rwanda de 1990 a 1994,2004_rodriguez_m.pdf,,"Rodríguez Añuez, Myrna",1193,2004,spa,Maestro en Estudios de Asia y Africa,Centro de Estudios de Asia y Africa,,El Colegio de México A.C.,5,,Africa,Ruanda,Researchers,Students
Desigualdad por ingresos y homogamia educativa en Ecuador en el periodo 2000-2012,2014_robles_ar.pdf,2014_robles_ar.pdf,"Robles Villane, Adriana Rocío",2156,2014,spa,,,,El Colegio de México A.C.,,,,,Researchers,Students
Causal inference with time-varying continuous interventions: evaluating the mexican universal health insurance program seguro popular,,,"Huffman Espinosa, Curtis",923,2016,eng,Doctor en Economía,Centro de Estudios Económicos,,El Colegio de México A.C.,5,,,local,Researchers,Students
Essays on migration and development in rural México,2007_mora_jj.pdf,,"Mora Rivera, José Jorge",1378,2007,eng,Doctor en Economía,Centro de Estudios Económicos,,El Colegio de México A.C.,5,,,Desarrollo rural,Researchers,Students
From the fiscal evasion problem to environmental matters: some applications of microeconomic techniques,2011_lara_ja.pdf,2011_lara_ja.pdf,"Lara Pulido, José Alberto",1760,2011,eng,Doctor en Economía,Centro de Estudios Económicos,,El Colegio de México A.C.,5,,,Evasión fiscal,Researchers,Students
Econometric estimation of strategic interaction models,2009_acosta_ba.pdf,2009_acosta_ba.pdf,"Acosta Peña, Brasil Alberto",1890,2009,eng,Doctor en Economía,Centro de Estudios Económicos,,El Colegio de México A.C.,5,,,Econometría,Researchers,Students
Collective household models: children and non-participation,2012_sarmiento_ja.pdf,2012_sarmiento_ja.pdf,"Sarmiento Espinel, Jaime Andrés",2008,2012,eng,Doctor en Economía,Centro de Estudios Económicos,,El Colegio de México A.C.,5,,,Hogares,Researchers,Students
Optimal income taxation and redistribution: an empirical exercise for Mexico,2013_chavez_es.pdf,2013_chavez_es.pdf,"Chávez Jiménez, Emmanuel Salvador",130,2013,eng,Maestro en Economía,Centro de Estudios Económicos,,El Colegio de México A.C.,5,,,Impuesto sobre la renta,Researchers,Students
The effects of real Exchange rate shocks on plant decisions: the case of Mexican manufacturing sector 2000-2014,,,"Monroy Gómez Franco, Luis Ángel",952,2016,eng,Maestro en Economía,Centro de Estudios Económicos,,El Colegio de México A.C.,5,,,local,Researchers,Students
Risk and return in the Mexican real estate market: a multifactor pricing model for FIBRAs,,,"Aldana Vizcaíno, José Ernesto",982,2016,eng,Maestro en Economía,Centro de Estudios Económicos,,El Colegio de México A.C.,5,,,local,Researchers,Students
Monetary policy and informality: how are monetary policy shocks transmitted in the presence of informal labor markets?,2015_martinez_fj.pdf,2015_martinez_fj.pdf,"Martínez Hernández, Francisco Javier",1639,2015,eng,Maestro en Economía,Centro de Estudios Económicos,,El Colegio de México A.C.,5,,,Política monetaria,Researchers,Students
On the incentives to invest in school quality,2013_jimenez_vm.pdf,2013_jimenez_vm.pdf,"Jiménez Medina, Víctor Manuel",1914,2013,eng,Maestro en Economía,Centro de Estudios Económicos,,El Colegio de México A.C.,5,,,Educación,Researchers,Students
Exchange rate fluctuations during NAFTA: a (de)stabilizing influence on the Mexican economy,2013_yslas_ra.pdf,2013_yslas_ra.pdf,"Yslas Pacheco, Renato Augusto",1949,2013,eng,Maestro en Economía,Centro de Estudios Económicos,,El Colegio de México A.C.,5,,,Cambio exterior,Researchers,Students
Drivers license requirements and road safety: evidence from a natural experiment in Mexico,2012_cervantes_lf.pdf,2012_cervantes_lf.pdf,"Cervantes García Rulfo, Luis Fernando",2027,2012,eng,Maestro en Economía,Centro de Estudios Económicos,,El Colegio de México A.C.,5,,,Choferes,Researchers,Students
Mexican fixed income market analysis: the term structure of interest rates and espectations hypothesis,2012_rodriguez_ra.pdf,2012_rodriguez_ra.pdf,"Rodríguez Martínez, Raúl Alejandro",2053,2012,eng,Maestro en Economía,Centro de Estudios Económicos,,El Colegio de México A.C.,5,,,Tasas de interés,Researchers,Students
Understanding risk aversion: linking characteristics and emotions to prospect theory,2012_cardenas_eh.pdf,2012_cardenas_eh.pdf,"Cárdenas Cuilty, Emilio Humberto",2056,2012,eng,Maestro en Economía,Centro de Estudios Económicos,,El Colegio de México A.C.,5,,,Estudiantes universitarios,Researchers,Students
What does banxico care about?: bayesian estimation of the preferences of the Mexican Central Bank,2014_pompa_a.pdf,2014_pompa_a.pdf,"Pompa Rangel, Antonio",2140,2014,eng,Maestro en Economía,Centro de Estudios Económicos,,El Colegio de México A.C.,5,,,Banco de México (1925- ),Researchers,Students
Market power and tax incidence: evidence from Mexican supermarket stores,2015_medina_em.pdf,2015_medina_em.pdf,"Medina Cortina, Eduardo Maed",2155,2015,eng,Maestro en Economía,Centro de Estudios Económicos,,El Colegio de México A.C.,5,,,Impuestos,Researchers,Students
"The equity premium, financial crises and the business cycle: evidence from Mexico",2014_martinez_ab.pdf,2014_martinez_ab.pdf,"Martínez Ortiz, Ana Bety",2163,2014,eng,Maestro en Economía,Centro de Estudios Económicos,,El Colegio de México A.C.,5,,,Ciclos económicos,Researchers,Students
General equilibrium effects of product differentiation in the rural agricultural sector: an introduction to organic agriculture in rural Mexico,2015_garcia_sm.pdf,2015_garcia_sm.pdf,"García Trujillo, Samuel David",2277,2015,eng,Maestro en Economía,Centro de Estudios Económicos,,El Colegio de México A.C.,5,,,Agricultura orgánica,Researchers,Students
An empirical analysis of the role of capabilities in national innovation systems,2013_brown_ca.pdf,2013_brown_ca.pdf,"Brown Solà, Carlos Armando",187,2013,eng,,,,El Colegio de México A.C.,,,,,Researchers,Students
Monetary policy and the propagation of shocks under imperfect exchange-rate pass-through,,,"Guerra Olmos, Mariana Elizabeth",905,2016,eng,,,,El Colegio de México A.C.,,,,,Researchers,Students
Airline competition between Mexico and the United States,,,"Celaya Mendoza, Rafael Andrés",918,2016,eng,,,,El Colegio de México A.C.,,,,,Researchers,Students
A review of operational methods in structure planning,,p001 2.pdf,"Barras, R.",972,1982,eng,,,,El Colegio de México A.C.,,,,,Researchers,Students
The impact of emission taxes on the adoption of pollution-reducing technologies in a duopoly,,,"Rangel Lezama, Carlos",998,2016,eng,,,,El Colegio de México A.C.,,,,,Researchers,Students
Three essays on the allocation of indivisible goods,2014_gibaja_de.pdf,2014_gibaja_de.pdf,"Gibaja Romero, Damián Emilio",1775,2014,eng,,,,El Colegio de México A.C.,,,,,Researchers,Students
A dynamic matching and search model for deceased-donor Kidney transplatation,2013_munoz_ea.pdf,2013_munoz_ea.pdf,"Muñoz Rodríguez, Edwin Alexander",1962,2013,eng,,,,El Colegio de México A.C.,,,,,Researchers,Students
How effective is cigarette warning labeling in changing smoking behavior? evidence from Mexico,2014_cervantes_ch.pdf,2014_cervantes_ch.pdf,"Cervantes Sánchez, Christian",1967,2014,eng,,,,El Colegio de México A.C.,,,,,Researchers,Students
A theorical model for unilateral markets,2013_gibaja_de.pdf,2013_gibaja_de.pdf,"Gibaja Romero, Damián Emilio",1968,2013,eng,,,,El Colegio de México A.C.,,,,,Researchers,Students
Do local newspapers serve local governments?,2015_mendoza_r.pdf,2015_mendoza_r.pdf,"Mendoza Serrano, Roberto",2162,2015,eng,,,,El Colegio de México A.C.,,,,,Researchers,Students
Employment dynamics and monetary policy under informality,2014_o_jrdela.pdf,2014_o_jr_de_la.pdf,"O Flores, Juan Ricardo de la",2196,2014,eng,,,,El Colegio de México A.C.,,,,,Researchers,Students
Estimating the New Keynesian Phillips Curve for selected Latin American countries,2015_lastire_che.pdf,2015_lastire_che.pdf,"Lastire Olmedo, Christian Eduardo",2216,2015,eng,,,,El Colegio de México A.C.,,,,,Researchers,Students
Three essays on conflict and economics,2016_sanchez_p.pdf,2016_samperio_da.pdf,"Sánchez Buelna, Pablo",2245,2016,eng,,,,El Colegio de México A.C.,,,,,Researchers,Students
Essays on international migration,2013_lara_j.pdf,2013_lara_j.pdf,"Lara Lara, Jaime",2336,2013,eng,,,,El Colegio de México A.C.,,,,,Researchers,Students
Las maquiladoras japonesas en la Frontera Norte: desafios y oportundiades ante el Tratado de Libre Comercio de América del Norte,1997_borja_r.pdf,1997_borja_r.pdf,"Borja Samperio, Rafael",1,1997,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,Inversiones japonesas,,Inversiones japonesas,Researchers,Students
Reforma burocrática en China: un caso de cambio institucional,1998_iglesias_ne.pdf,1998_iglesias_ne.pdf,"Iglesias Urrutia, Nydia E.",2,1998,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,Chung-Kuo Kung Ch'an Tang,Researchers,Students
"Sencillo modelo de definición de problemas en el análisis de políticas públicas, ilustrado con el diseño de los Fondos de Inversión Social del Banco Mundial en América Latina",,,"Mena Rodríguez, Marco Antonio",8,1997,,Licenciado en Administración Pública,Centro de Estudios Internaconales,,El Colegio de México A.C.,5,,,Grupo del Banco Mundial,Researchers,Students
El partido acción nacional y la doctrina social de la iglesia,1998_bartolucci_m.pdf,1998_bartolucci_m.pdf,"Bartolucci Blanco, Maria",16,1998,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,"Castillo Peraza, Carlos",Researchers,Students
"Fallas del mercado, bienes públicos y externalidades: la regulación de la industria de la televisión y la creación de Televisión Metropolitana, Canal 22",1997_matus_ms.pdf,1997_matus_ms.pdf,"Matus Velasco, Manuel Salvador",19,1997,,Licenciado en Administración Pública,Centro de Estudios Internaconales,,El Colegio de México A.C.,5,,,"Canal 22 de Televisión, México",Researchers,Students
"La construcción de la propuesta de reforma electoral, 1995-1996",1997_ibarra_p.pdf,1997_ibarra_p.pdf,"Ibarra Rodríguez, Pablo",23,1997,,Licenciado en Administración Pública,Centro de Estudios Internaconales,,El Colegio de México A.C.,5,,,Elecciones,Researchers,Students
La política comercial de México hacia América Latina,1997_jimenez_la.pdf,1997_jimenez_la.pdf,"Jiménez Ramírez, Luis Arturo",26,1997,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,Bloques comerciales,Researchers,Students
"Las actividades de la Afl-cio en favor de la democracia y los derechos sindicales: el caso de Chile, 1981-1989",1998_aurrecoechea_a.pdf,1998_aurrecoechea_a.pdf,"Aurrecoechea Villela, Alejandro",28,1998,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,American Federation of Labor (Estados Unidos),Researchers,Students
"Las fuerzas armadas y la lucha contra el narcotráfico en México y Estados Unidos, 1982-1997",1998_garcia_a.pdf,1998_garcia_a.pdf,"García Estrada, Adolfo",29,1998,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,Narcotráfico,Researchers,Students
Descentralización y conflicto: análisis de dos casos de política pública,1997_guadarrama_rc.pdf,1997_guadarrama_rc.pdf,"Guadarrama Mendoza, Ricardo Cuauhtémoc",31,1997,,Licenciado en Administración Pública,Centro de Estudios Internaconales,,El Colegio de México A.C.,5,,,Decisiones,Researchers,Students
Instrumentos de financiamiento para el sector forestal,1997_buentello_m.pdf,1997_buentello_m.pdf,"Buentello García, Mónica",35,1997,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,Recursos forestales,Researchers,Students
"Los dilemas del cambio en el socialismo español: transformación en las relaciones entre el Partido Socialista Obrero Español y la Unión General de Trabajadores, 1888-1988",1997_velasquillo_e.pdf,,"Velasquillo Herrera, Eduardo",36,1997,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,Partido Socialista Obrero Español,Researchers,Students
Prensa nacional y política exterior: tres episodios porfirianos,1997_gurra_a.pdf,1997_gurria_a.pdf,"Gurría Quintana, Angel",38,1997,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,"Díaz, Porfirio",Researchers,Students
Los sindicatos de burócratas y el Estado,1998_paz_Jgdela.pdf,1998_paz_Jg_de_la.pdf,"Paz Sosa, José Gabriel de la",41,1998,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,Federación de Sindicatos de Trabajadores al Servicio del Estado (México),Researchers,Students
La discusión sobre la democracia y el debate mexicano,1997_tapia_m.pdf,1997_tapia_m.pdf,"Tapia Álvarez, Mónica",52,1997,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,Cultura política,Researchers,Students
"Descentralización y productividad: los servicios de salud para población abierta en México, 1982-1994",1997_flamand_l.pdf,1997_flamand_l.pdf,"Flamand Gómez, Laura",53,1997,,Licenciado en Administración Pública,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,Descentralización administrativa,Researchers,Students
"Seguridad nacional y desarrollo industrial en Japón: Mitsubishi y la industria naviera, 1853-1884",1997_gonzalez_r.pdf,,"González Ono, Rodolfo",54,1997,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,"Mitsubishi Zosen Kabushiki Kaisa, Nagasaki Zosenjo",Researchers,Students
La idea de legitimidad de Plutarco Elías Calles al fundar el Partido Nacional Revolucionario: la construcción de un nuevo orden de dominación en México,1997_santana_h.pdf,1997_santana_h.pdf,"Santana Suárez, Héctor",55,1997,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,"Calles, Plutarco Elías",Researchers,Students
México ante el régimen internacional de cambio climático,1998_hernandez_f.pdf,1998_hernandez_f.pdf,"Hernández Aresti, Francisco",60,1998,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,Cambios climatológicos,Researchers,Students
La reforma constitucional en los procesos de consolidación democrática: los casos de Chile y Argentina,1997_montoya_ri.pdf,1997_montoya_ri.pdf,"Montoya Bayardo, Rafael Ignacio",65,1997,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,Argentina,Researchers,Students
La política exterior de la Santa Sede y su aplicación al caso de México,1997_delgado_emdelosa.pdf,1997_delgado_em_de_los_a.pdf,"Delgado Grovas, Elizabeth María de los Angeles",67,1997,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,Iglesia y estado en México,Researchers,Students
Los derechos humanos y el concepto de soberanía ante los retos del nuevo orden mundial: la intervención humanitaria en Somalia,1998_hofbauer_h.pdf,1998_hofbauer_h.pdf,"Hofbauer Balmori, Helena",72,1998,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,Derechos civiles,Researchers,Students
La privatización de ferrocarriles nacionales de México,1997_cervantes_r.pdf,1997_cervantes_r.pdf,"Cervantes Laing, Rodrigo",73,1997,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,Ferrocarriles,Researchers,Students
La política de financiamiento público externo de México: 1988-1994,1997_paredes_a.pdf,1997_paredes_a.pdf,"Paredes Orihuela, Agustín",80,1997,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,Deuda exterior,Researchers,Students
"Ciencia y revolución: la política de ciencia y tecnología del presidente Lázaro Cárdenas, 1934-1940",1998_sanchez_t.pdf,1998_sanchez_t.pdf,"Sánchez Andrade, Tania",82,1998,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,"Cárdenas, Lázaro",Researchers,Students
Jaime Torres Bodet y la UNESCO: los límites de la cooperación internacional,1997_enriquez_c.pdf,1997_enriquez_c.pdf,"Enríquez Verdura, Carlos",83,1997,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,"Torres Bodet, Jaime",Researchers,Students
La política exterior Argentina y el Mercosur,1998_anaya_lm.pdf,1998_anaya_lm.pdf,"Anaya Imazio, Luis Martín",87,1998,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,Mercado Común del Cono Sur,Researchers,Students
El pase automático en la UNAM y la lógica del movimiento estudiantil de 1986-1987,1997_bravo_J.pdf,1997_bravo_J.pdf,"Bravo Puga, Jorge",90,1997,,Licenciado en Administración Pública,Centro de Estudios Internaconales,,El Colegio de México A.C.,5,,,México (Ciudad),Researchers,Students
La relación entre Gran Bretaña y la Unión Europea: un socio anticomunitario,1997_aguila_l.pdf,1997_aguila_l.pdf,"Aguila Llausás, Lucila del",93,1997,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,Unión Europea,Researchers,Students
La imagen Estados Unidos en Excélsior entre 1978 y 1993,1997_bassegoda_a.pdf,1997_bassegoda_a.pdf,"Bassegoda Treviño, Alina",94,1997,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,"Excelsior (Periódico), México",Researchers,Students
El desafío de la elevación de los niveles de bienestar en México y la reducción de la pobreza: alcances y límites de las estrategias de gestión pública mexicana,1997_paz_ce.pdf,1997_paz_ce.pdf,"Paz García, Carlos Eugenio",96,1997,,Licenciado en Administración Pública,Centro de Estudios Internacioanles,,El Colegio de México A.C.,5,,,México,Researchers,Students
El federalismo fiscal desde la óptica de la gestión financiera municipal,1997_raich_u.pdf,1997_raich_u.pdf,"Raich Portman, Uri",98,1997,,Licenciado en Administración Pública,Centro de Estudios Internaconales,,El Colegio de México A.C.,5,,,Finanzas municipales,Researchers,Students
Los efectos de la integración europea en el resurgimiento del Frente Nacional en Francia,1999_jaramillo_a.pdf,,"Jaramillo Torres, Angel",108,1999,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,Frente Nacional (Francia : 1972- ),Researchers,Students
Hacia una nueva relación entre poderes: la negociación presupuestal de 1997 en México,1999_moreno_as.pdf,,"Moreno Jaimes, Angélica Saloie",109,1999,,Licenciado en Administración Pública,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,México,Researchers,Students
El proceso de integración europea: una perspectiva institucionalista,1999_ruiz_e.pdf,,"Ruiz Sandoval, Erika",117,1999,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,Comunidades Europeas,Researchers,Students
La formación de la agenda de gobierno en México,1999_dominguez_Jm.pdf,,"Domínguez Camacho, José Miguel",119,1999,,Licenciado en Administración Pública,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,"Plan Nacional de Desarrollo, México, 1995",Researchers,Students
La nueva diplomacia mexicana en Estados Unidos y el tratado de libre comercio de América del Norte,1999_mora_gdela.pdf,,"Mora Lasa, Guillermo de la",128,1999,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,"Tratado de Libre Comercio entre México, Canadá y Estados Unidos",Researchers,Students
La Isla de la Pasión o Clipperton: un arbitraje controvertible : simbolismo e implicaciones para la política exterior de México (1850-2012),2012_portillo_m.pdf,2012_portillo_m.pdf,"Portillo Díaz, Marco",129,2012,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,Arbitraje internacional,Researchers,Students
La dinámica de la atención pública: análisis de la aparición de tres temas en el sexenio del presidente Ernesto Zedillo Ponce de León,1999_gonzalez_J.pdf,,"González Gómez, Javier",131,1999,,Licenciado en Administración Pública,Centro de Estudios Internacioanles,,El Colegio de México A.C.,5,,,Fondo Bancario de Protección al Ahorro (México),Researchers,Students
"El estado y la crisis: la Argentina, Chile y México en la década de 1930",1999_durazo_fJ.pdf,,"Durazo Hermann, Francisco Julián",135,1999,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,"Estado, El",Researchers,Students
Las negociaciones del azúcar en el TLCAN entre México y Estados Unidos,2000_galindo_n.pdf,,"Galindo Marquina, Nury",139,2000,,Licenciado en Relaciones Internacionales,Centro de Estudios Internacionales,,El Colegio de México A.C.,5,,,Azúcar,Researchers,Students
